Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
3	:	1761076954.535	     2.563	0	77089	0	0	download_file 'http://olmo-data.org/preprocessed/personahub_math_v5_regen_149960/dolma2-tokenizer/part-06-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/personahub_math_v5_regen_149960/dolma2-tokenizer/part-06-00000.npy
4	:	1761076954.538	     2.562	0	78153	0	0	download_file 'http://olmo-data.org/preprocessed/personahub_math_v5_regen_149960/dolma2-tokenizer/part-04-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/personahub_math_v5_regen_149960/dolma2-tokenizer/part-04-00000.npy
1	:	1761076954.529	     2.761	0	77775	0	0	download_file 'http://olmo-data.org/preprocessed/personahub_math_v5_regen_149960/dolma2-tokenizer/part-00-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/personahub_math_v5_regen_149960/dolma2-tokenizer/part-00-00000.npy
6	:	1761076954.543	     2.808	0	72532	0	0	download_file 'http://olmo-data.org/preprocessed/personahub_math_v5_regen_149960/dolma2-tokenizer/part-05-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/personahub_math_v5_regen_149960/dolma2-tokenizer/part-05-00000.npy
7	:	1761076954.545	     2.807	0	72377	0	0	download_file 'http://olmo-data.org/preprocessed/personahub_math_v5_regen_149960/dolma2-tokenizer/part-13-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/personahub_math_v5_regen_149960/dolma2-tokenizer/part-13-00000.npy
2	:	1761076954.532	     2.878	0	77855	0	0	download_file 'http://olmo-data.org/preprocessed/personahub_math_v5_regen_149960/dolma2-tokenizer/part-12-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/personahub_math_v5_regen_149960/dolma2-tokenizer/part-12-00000.npy
5	:	1761076954.541	     2.923	0	77850	0	0	download_file 'http://olmo-data.org/preprocessed/personahub_math_v5_regen_149960/dolma2-tokenizer/part-11-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/personahub_math_v5_regen_149960/dolma2-tokenizer/part-11-00000.npy
8	:	1761076954.548	     2.985	0	77705	0	0	download_file 'http://olmo-data.org/preprocessed/personahub_math_v5_regen_149960/dolma2-tokenizer/part-08-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/personahub_math_v5_regen_149960/dolma2-tokenizer/part-08-00000.npy
16	:	1761076957.595	     0.277	0	1165	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-27-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-27-00000.npy
17	:	1761076957.877	     0.638	0	1164	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-17-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-17-00000.npy
18	:	1761076958.595	     0.598	0	633	0	0	download_file 'http://olmo-data.org/preprocessed/basic_math_mj/dolma2-tokenizer/part-12-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/basic_math_mj/dolma2-tokenizer/part-12-00000.npy
15	:	1761076957.591	     1.930	0	77317	0	0	download_file 'http://olmo-data.org/preprocessed/personahub_math_v5_regen_149960/dolma2-tokenizer/part-14-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/personahub_math_v5_regen_149960/dolma2-tokenizer/part-14-00000.npy
9	:	1761076957.525	     2.069	0	71845	0	0	download_file 'http://olmo-data.org/preprocessed/personahub_math_v5_regen_149960/dolma2-tokenizer/part-02-00000.npy' /n/netscratch/dam_lab/Lab/sqin/olmo/stage2/preprocessed/personahub_math_v5_regen_149960/dolma2-tokenizer/part-02-00000.npy
